PS,IF,D,0.18,0.22,1370.0, 9/12/2025
PS,VVS1,D,0.18,0.22,1370.0, 9/12/2025
PS,VVS2,D,0.18,0.22,1370.0, 9/12/2025
PS,VS1,D,0.18,0.22,1160.0, 9/12/2025
PS,VS2,D,0.18,0.22,1160.0, 9/12/2025
PS,SI1,D,0.18,0.22,1000.0, 9/12/2025
PS,SI2,D,0.18,0.22,850.0, 9/12/2025
PS,SI3,D,0.18,0.22,710.0, 9/12/2025
PS,I1,D,0.18,0.22,600.0, 9/12/2025
PS,I2,D,0.18,0.22,450.0, 9/12/2025
PS,I3,D,0.18,0.22,360.0, 9/12/2025
PS,IF,E,0.18,0.22,1370.0, 9/12/2025
PS,VVS1,E,0.18,0.22,1370.0, 9/12/2025
PS,VVS2,E,0.18,0.22,1370.0, 9/12/2025
PS,VS1,E,0.18,0.22,1160.0, 9/12/2025
PS,VS2,E,0.18,0.22,1160.0, 9/12/2025
PS,SI1,E,0.18,0.22,1000.0, 9/12/2025
PS,SI2,E,0.18,0.22,850.0, 9/12/2025
PS,SI3,E,0.18,0.22,710.0, 9/12/2025
PS,I1,E,0.18,0.22,600.0, 9/12/2025
PS,I2,E,0.18,0.22,450.0, 9/12/2025
PS,I3,E,0.18,0.22,360.0, 9/12/2025
PS,IF,F,0.18,0.22,1370.0, 9/12/2025
PS,VVS1,F,0.18,0.22,1370.0, 9/12/2025
PS,VVS2,F,0.18,0.22,1370.0, 9/12/2025
PS,VS1,F,0.18,0.22,1160.0, 9/12/2025
PS,VS2,F,0.18,0.22,1160.0, 9/12/2025
PS,SI1,F,0.18,0.22,1000.0, 9/12/2025
PS,SI2,F,0.18,0.22,850.0, 9/12/2025
PS,SI3,F,0.18,0.22,710.0, 9/12/2025
PS,I1,F,0.18,0.22,600.0, 9/12/2025
PS,I2,F,0.18,0.22,450.0, 9/12/2025
PS,I3,F,0.18,0.22,360.0, 9/12/2025
PS,IF,G,0.18,0.22,1210.0, 9/12/2025
PS,VVS1,G,0.18,0.22,1210.0, 9/12/2025
PS,VVS2,G,0.18,0.22,1210.0, 9/12/2025
PS,VS1,G,0.18,0.22,1020.0, 9/12/2025
PS,VS2,G,0.18,0.22,1020.0, 9/12/2025
PS,SI1,G,0.18,0.22,880.0, 9/12/2025
PS,SI2,G,0.18,0.22,750.0, 9/12/2025
PS,SI3,G,0.18,0.22,630.0, 9/12/2025
PS,I1,G,0.18,0.22,520.0, 9/12/2025
PS,I2,G,0.18,0.22,400.0, 9/12/2025
PS,I3,G,0.18,0.22,320.0, 9/12/2025
PS,IF,H,0.18,0.22,1210.0, 9/12/2025
PS,VVS1,H,0.18,0.22,1210.0, 9/12/2025
PS,VVS2,H,0.18,0.22,1210.0, 9/12/2025
PS,VS1,H,0.18,0.22,1020.0, 9/12/2025
PS,VS2,H,0.18,0.22,1020.0, 9/12/2025
PS,SI1,H,0.18,0.22,880.0, 9/12/2025
PS,SI2,H,0.18,0.22,750.0, 9/12/2025
PS,SI3,H,0.18,0.22,630.0, 9/12/2025
PS,I1,H,0.18,0.22,520.0, 9/12/2025
PS,I2,H,0.18,0.22,400.0, 9/12/2025
PS,I3,H,0.18,0.22,320.0, 9/12/2025
PS,IF,I,0.18,0.22,1000.0, 9/12/2025
PS,VVS1,I,0.18,0.22,1000.0, 9/12/2025
PS,VVS2,I,0.18,0.22,1000.0, 9/12/2025
PS,VS1,I,0.18,0.22,850.0, 9/12/2025
PS,VS2,I,0.18,0.22,850.0, 9/12/2025
PS,SI1,I,0.18,0.22,750.0, 9/12/2025
PS,SI2,I,0.18,0.22,650.0, 9/12/2025
PS,SI3,I,0.18,0.22,540.0, 9/12/2025
PS,I1,I,0.18,0.22,450.0, 9/12/2025
PS,I2,I,0.18,0.22,350.0, 9/12/2025
PS,I3,I,0.18,0.22,270.0, 9/12/2025
PS,IF,J,0.18,0.22,1000.0, 9/12/2025
PS,VVS1,J,0.18,0.22,1000.0, 9/12/2025
PS,VVS2,J,0.18,0.22,1000.0, 9/12/2025
PS,VS1,J,0.18,0.22,850.0, 9/12/2025
PS,VS2,J,0.18,0.22,850.0, 9/12/2025
PS,SI1,J,0.18,0.22,750.0, 9/12/2025
PS,SI2,J,0.18,0.22,650.0, 9/12/2025
